provision_id,instrument_id,provision_type,animal_scope,penalty_criminal_max_months,penalty_fine_max_local_currency,currency_code,penalty_administrative_only,penalty_administrative_detention_days,ancillary_orders,aggravating_factors,effective_date,source_id,verification_tier,notes
KR-APA-P1,KR-APA,general_cruelty,all_vertebrates,24,,KRW,FALSE,,,"If death results, penalty rises to 3yr/30M won (Art.97(1)) instead of the 2yr/20M won base tier for injury-causing cruelty recorded here (Art.97(2)).",2023-04-27,SRC-KR-04,verified,"CORRECTED 2026-09-18 (volunteer fact-checker caught this, batch 3): two errors in the prior version of this row. (1) Art.2 defines 'animal' as vertebrates capable of feeling pain - mammals and birds automatically included; reptiles/amphibians/fish are covered BY DEFAULT under the Enforcement Decree (시행령 제2조), EXCLUDED only when raised/kept for food purposes - the prior entry had this backwards (claimed inclusion required individual designation, when exclusion-for-food is actually the exception to a default of inclusion). (2) The claim that animal fighting is 'only indirectly covered via the gambling provision' with a 'documented loophole' from a July 2026 Daegu case was an overstatement: Art.10 already directly prohibits causing injury to animals for gambling/entertainment, and in the actual Daegu case some suspects WERE referred to prosecution under the Animal Protection Act itself for using animals in fights - only the SEPARATE gambling-law charge was not referred, for lack of evidence of actual monetary betting. That is a gap in the gambling-specific charge's evidentiary record, not a loophole in animal-cruelty coverage. Art.10 also prohibits cruel killing methods, killing in public/before other animals, injury via tools/drugs, mutilation, neglect/cruel training; abandonment separately prohibited (Art.10(4)). Ownership-ban/mandatory-education/corporate-liability provisions NOT confirmed this round - flagged as unconfirmed, not absent."
KR-APA-P2,KR-APA,filming_distribution,all_vertebrates,,3000000,KRW,FALSE,,,,2023-04-27,SRC-KR-01,verified,"Art.97(5) tier: criminal fine only, up to 3,000,000 won, no imprisonment option at this tier. Exception for material clearly labeled as raising animal-welfare awareness per MAFRA ordinance. Added by the 2022 comprehensive revision. Same tier (Art.97(5)) also covers animal gambling/fighting, abandonment, for-profit rental, and unauthorized euthanasia."
KR-DMPA-P1,KR-DMPA,killing,single_species_targeted,36,30000000,KRW,FALSE,,,,2027-02-07,SRC-KR-03,verified,"CORRECTED 2026-09-17 (independent audit caught this - see SRC-KR-03): the prior version of this row bundled slaughter with breeding/distribution/sale under one (lower) penalty figure; Art.17 of the official text actually sets TWO separate tiers, and this row now records only the slaughter tier. Art.17(1) (verbatim): a person who slaughters a dog for food in violation of Art.5(1) faces up to 3 years' imprisonment or a fine of up to KRW30,000,000 - see KR-DMPA-P2 for the separate, lower breeding/distribution/sale tier (Art.17(2)). EFFECTIVE DATE ALSO CORRECTED: Art.5 (the substantive ban) and Art.17 (its penalty) do not take effect until 3 years after promulgation (부칙, transitional provisions) = 2027-02-07 - NOT 2024-02-06, which is only when this law's procedural/administrative articles (committee formation, registration/reporting duties, the ban on NEW facilities) took effect. Targets DOGS SPECIFICALLY for meat consumption - not a general animal-cruelty provision, hence single_species_targeted rather than a general animal_scope value. Separately, Art.18(1) sets a much smaller administrative fine (과태료, up to KRW3,000,000, not modeled as its own row) for violating Art.9's ban on establishing NEW dog-farming/slaughter/retail facilities - that ban itself took effect immediately at promulgation (2024-02-06), unlike the main prohibition."
KR-DMPA-P2,KR-DMPA,consumption_ban,single_species_targeted,24,20000000,KRW,FALSE,,,,2027-02-07,SRC-KR-03,verified,"NEW ROW 2026-09-17, split out from the (incorrect) single KR-DMPA-P1 - see that row's notes for the correction context. Art.17(2) (verbatim): a person who, in violation of Art.5(1), breeds or raises dogs for food, OR who, in violation of Art.5(2), distributes or sells dogs (or dog-derived food products) for food, faces up to 2 years' imprisonment or a fine of up to KRW20,000,000 - the lower of the Act's two criminal tiers, one below the slaughter-specific penalty in KR-DMPA-P1. Same effective-date correction applies: 2027-02-07, not 2024-02-06."
US-FED-T18S48-P1,US-FED-T18S48,killing,vertebrates_excluding_fish,84,,USD,FALSE,,,,2019-11-25,SRC-USFED-01,verified,"CORRECTED 2026-09-18 (audit caught this): provision_type was miscoded general_cruelty despite this row's own notes and the parent US-FED jurisdiction row both explicitly stating no general federal cruelty offence exists - recoded to killing, matching the dictionary's definition (unlawful/cruel killing of a protected/covered animal) and this statute's actual focus on specific lethal/injurious methods. Covers purposely crushing, burning, drowning, suffocating, impaling, or otherwise inflicting serious bodily injury on a 'living non-human mammal, bird, reptile, or amphibian' - fish and invertebrates explicitly absent from the definition. Originally enacted 1999 targeting only 'crush videos' (depictions); the PACT Act 2019 expanded it to criminalize the underlying CONDUCT itself - the single most significant federal expansion in the 2015-2026 window. The commonly-cited '$250,000' fine figure likely derives from the GENERAL federal felony fine schedule (18 U.S.C. S3571) rather than being S48-specific - left blank here as unconfirmed rather than asserted. NO GENERAL FEDERAL CRUELTY OFFENCE EXISTS beyond this narrow, commerce-tied provision - general cruelty/neglect/abandonment/killing is exclusively STATE law in the US (see ALDF's 50-state rankings, referenced in PRD SS7, for that layer). NEW NOTE 2026-09-21 (volunteer Jennifer Ferrarese, reading 18 U.S.C. S48 directly, flagged two real gaps): (1) The conduct offense in S48(a)(1) is jurisdictionally narrow - it only reaches crushing that is 'in or affecting interstate or foreign commerce' or occurs 'within the special maritime and territorial jurisdiction of the United States' (verified against the current codified text, law.cornell.edu/uscode/text/18/48). A purely private, non-commercial act with no interstate-commerce nexus and no federal-enclave/maritime connection could fall outside this specific federal statute's reach - but this is NOT the same as the underlying act being lawful: S48(e) expressly states the section does not preempt state law, and every US state's own cruelty statute (the ALDF 50-state layer referenced above) would independently cover the same intentional killing/torment regardless of any commerce nexus. (2) S48(b) gives the video offenses (creation/sale/marketing/distribution, S48(a)(2)-(3)) extraterritorial reach: conduct occurring entirely outside the US is itself a federal violation if the person intends or has reason to know the crush video will be transported into the US, or if it actually is - relevant given documented cases of crush-video production originating outside the US and marketed to US-based buyers. Both points verified directly against the current statutory text (law.cornell.edu/uscode/text/18/48) on 2026-09-21."
US-FED-AWA-P1,US-FED-AWA,neglect_duty_of_care,domestic_and_captive_only_with_named_exclusions,,10000,USD,TRUE,,,,,SRC-USFED-02,verified,"7 U.S.C. S2132(g): dog, cat, nonhuman primate, guinea pig, hamster, rabbit, or other warm-blooded animal the Secretary designates - EXPLICITLY EXCLUDING birds, rats/mice bred for research, horses not used in research, and farm animals used for food/fiber. Applies only to USDA-licensed dealers/exhibitors/research facilities - imposes husbandry/care standards enforced via CIVIL penalties and license actions (APHIS), not a criminal cruelty offence for private owners. Enforcement reportedly weakened post-SEC v. Jarkesy (June 2024 Supreme Court ruling restricting in-house civil-penalty adjudication) - advocacy-sourced reporting (not government-confirmed) cites only 5 fines issued in the following 14 months, and a 2025 USDA OIG audit finding 80% of reviewed dog breeders had at least one noncompliance. NEW NOTE 2026-09-21 (verified against 7 U.S.C. S2149, law.cornell.edu, during a completeness re-check of volunteer Jennifer Ferrarese's full assigned batch): the statutory civil penalty cap is $10,000 per violation (S2149(b); this figure is subject to periodic inflation adjustment under a separate federal law - the current inflation-adjusted figure was not independently confirmed this round, so the un-adjusted statutory base is recorded here). S2149 authorizes ONLY governmental enforcement (the Secretary of Agriculture assesses penalties/cease-and-desist orders, the Attorney General collects unpaid ones in federal court) - no private right of action or citizen-suit mechanism exists anywhere in this enforcement section, which is directly relevant context for the post-Jarkesy enforcement-weakening point already noted above: there is no alternate private enforcement route to fall back on. A separate license suspension (up to 21 days, longer after notice/hearing) or revocation mechanism also exists under S2149(a)."
CA-FED-CC-P1,CA-FED-CC44547,general_cruelty,all_animals_undifferentiated,60,10000,CAD,FALSE,,ownership_ban;restitution_order,Second or subsequent offence: prohibition order MINIMUM 5 years (vs. discretionary duration for a first offence).,,SRC-CAFED-01,verified,"s.445.1(1)(a): wilfully causing/permitting unnecessary pain, suffering, or injury to ANY 'animal or bird' - no vertebrate or domestic-status qualifier stated in the fetched text, unlike most other jurisdictions researched. Same section also covers: animal-fighting participation (encouraging/arranging/training/transporting/breeding for fighting, s.445.1(1)(b)), poison administration, captive-bird release-and-shoot events. Summary-conviction alternative: $10,000 CAD fine and/or 2 years less a day. A prohibition order issued under s.447.1 bars ownership/custody/co-residence with an animal; a restitution order covers animal-care costs incurred by an assisting organization."
CA-FED-CC-P2,CA-FED-CC44547,neglect_duty_of_care,all_animals_undifferentiated,24,,CAD,FALSE,,,,,SRC-CAFED-01,verified,"VERIFIED INTERNAL INCONSISTENCY, preserved deliberately rather than smoothed over: s.446 (neglect while conveying; owner/custodian abandonment in distress or wilful failure to provide adequate food/water/shelter/care) caps at 2 YEARS indictable, while ss.445/445.1/447 cap at 5 years. The widely-repeated secondary-source claim that '2008 raised all animal-cruelty penalties to 5 years' is imprecise - this specific section was not raised to the same ceiling."
CA-FED-CC-P3,CA-FED-CC44547,fighting,all_animals_undifferentiated,60,10000,CAD,FALSE,,,"Like s.445.1 (CA-FED-CC-P1), this is a hybrid offence with two alternative tracks, not one combined penalty: on indictment, up to 5 years (recorded as the 60-month ceiling here); OR on summary conviction, a fine of up to CAD10,000 and/or up to 2 years less a day. CLARIFIED 2026-09-18: added after a systematic check (prompted by two volunteer-caught errors elsewhere of exactly this kind - a two-tier penalty compressed into one figure) confirmed via direct fetch that s.447 shares the same dual-track structure as s.445.1, which this row's notes previously didn't spell out even though the recorded numbers (60mo/CAD10,000) were themselves already correct.",,SRC-CAFED-01,verified,"s.447: building/maintaining an arena for animal fighting. Subsection (3) repealed by 2019, c.17, s.3 (Bill C-84)."
UK-ENG-AWA2006-P1,UK-ENG-AWA2006,general_cruelty,domestic_and_captive_only_with_named_exclusions,60,,GBP,FALSE,,,"Pre-2021-06-29 maximum was 6 months (summary-only, no indictable tier existed). Sentencing Act 2021 raised the indictable maximum to 5 years with an UNLIMITED fine (no numeric cap - left blank here rather than asserting a false ceiling).",2021-06-29,SRC-UKENG-01,verified,"s.4 (unnecessary suffering): act/omission causing suffering, defendant knew or ought to have known, suffering unnecessary (courts weigh avoidability, legality, legitimate purpose, proportionality, reasonable-competent-person standard); carve-out for 'relevant officers' (police) reasonably using an animal in duty. 'Protected animal' scope (vertebrates domesticated in the British Islands, under human control, or not living in a wild state) not independently verified word-for-word this round. SCOPE BOUNDARY: the separate Animal Welfare (Sentience) Act 2022 recognizes cephalopods/decapods for POLICY-SCRUTINY purposes only (see UK-ENG-AWSCA2022) - this does NOT extend to or alter this criminal offence's scope. NEW NOTE 2026-09-21 (verified against legislation.gov.uk s.4, during a completeness re-check of volunteer Jennifer Ferrarese's batch): s.4 does not apply to the destruction of an animal in an appropriate and humane manner - this exception was missing from the notes above."
UK-ENG-AWA2006-P2,UK-ENG-AWA2006,neglect_duty_of_care,domestic_and_captive_only_with_named_exclusions,12,,GBP,FALSE,,,,2006-11-08,SRC-UKENG-01,verified,"s.9 (duty of care): proactive failure to take reasonable steps to meet the animal's needs 'to the extent required by good practice', via the five welfare needs (suitable environment; suitable diet; ability to exhibit normal behaviour; appropriate housing with/apart from other animals; protection from pain/suffering/injury/disease). PENALTY FIELDS LEFT BLANK DELIBERATELY: the verified post-2021 5-year/unlimited-fine tier was confirmed for ss.4,5,6(1)-(2),7,8 specifically - s.9 was NOT confirmed to be part of that same list in this round's research. Do not assume s.9 shares the s.4 penalty tier without checking the Act's s.32 penalty cross-references directly. RESOLVED 2026-09-21 (verified directly against legislation.gov.uk s.32, the Act's own penalty section, plus LASPO 2012 s.85, during a completeness re-check of volunteer Jennifer Ferrarese's batch): s.9 is NOT part of the 5-year/unlimited-fine tier that ss.4,5,6(1)-(2),7,8 share - it sits in its own, lower tier alongside ss.13(6) and 34(9): summary conviction only, maximum 51 weeks' imprisonment (recorded as 12 in the months field as the nearest whole-month approximation - 51 weeks is a deliberate English sentencing-law figure, not a rounded year), fine 'not exceeding level 5 on the standard scale' - which LASPO 2012 s.85 made unlimited for offences after 2015-03-12 (hence the fine field is left blank here, following the same convention as the unlimited fine on P1, rather than recording a false numeric cap). Upgraded to verified given the direct official-source confirmation. The same s.9 duty also does not apply to humane destruction of an animal (mirrors the s.4 exception on P1)."
TW-APA-P1,TW-APA,general_cruelty,domestic_and_captive_only_with_named_exclusions,24,2000000,TWD,FALSE,,confiscation;business_license_revocation;ownership_ban,"Art.25-1: causing multiple animal deaths via drugs/firearms in serious cases raises the penalty to 1-5yr + fine NT$500,000-5,000,000.",2017-04-26,SRC-TW-01,verified,"Art.6 prohibits harassing/abusing/injuring any animal (騷擾、虐待或傷害動物). Art.10 separately bans animal fighting/gambling on animal contests. Art.12 restricts killing to specified purposes. Art.25 sets the base penalty (recorded here) for slaughter/intentional injury causing severe mutilation/organ-function loss. Art.3 defines 'animal' as dogs, cats, and other vertebrates reared/kept by humans, expressly including livestock, laboratory/experimental animals, and pets - wild animals in their natural habitat fall under the separate Wildlife Conservation Act. Separately, dog/cat meat sale/consumption/possession carries an ADMINISTRATIVE fine NT$50,000-250,000 with mandatory name-and-shame disclosure (a consumption ban, not modeled as its own cruelty-provision row). Corporate/organizational liability not confirmed this round."
TW-APA-P2,TW-APA,filming_distribution,domestic_and_captive_only_with_named_exclusions,12,30000,TWD,FALSE,,,,2010-01-27,SRC-TW-01,verified,"Art.27-1: up to 1 year imprisonment/detention or fine up to NT$30,000 for spreading cruelty depictions, exempting academic/public-interest use. Added by the 2010-01-27 amendment - NOT a 2022 addition as sometimes assumed."
HK-CAP169-P1,HK-CAP169,general_cruelty,all_animals_explicitly_enumerated,36,200000,HKD,FALSE,,,,2006-12-06,SRC-HK-01,snippet,"Scope per a snippet-level source: 'any mammal, bird, reptile, amphibian, fish or any other vertebrate or invertebrate whether wild or tame' - an explicit exhaustive-sounding list covering essentially everything, distinct from Canada's silence-based undifferentiated scope - AUDIT-CORRECTED 2026-09-15: this row was previously miscoded as all_animals_undifferentiated (Canada's value) despite this very note already stating the distinction; now correctly coded all_animals_explicitly_enumerated. IMPORTANT: this HK$200,000/3-year maximum was NOT set by a 2023/2024 amendment (a claim that circulates but is confirmed false) - it dates to the 2006 amendment. As of Feb 2026 (LCQ15), a reform package (duty-of-care offence, indictable tier, disqualification orders, higher penalties) has been under consultation since 2019/May 2022 but remains UNENACTED. Summary offence only (magistrates' courts), 6-month prosecution time-bar from offence date - a 2021 HKU study found >20% of offenders evade prosecution via the time-bar, only ~50% of convicted abusers jailed, mostly <=6 weeks. No evidence of a filming/distribution offence found this round (gap, not confirmed absence). SPCA HK has NO delegated statutory enforcement power despite handling 20,000+ calls/year - AFCD and Police jointly enforce; over 90% of AFCD-received reports are non-cruelty nuisance complaints; 82 prosecutions (HKPF+AFCD combined) 2023-2025."
MO-L42016-P1,MO-L42016,general_cruelty,all_vertebrates,12,,MOP,FALSE,,,"Criminal tier requires BOTH intent to inflict pain/suffering AND a severity threshold: grave injury, mutilation, organ loss, or death. Cruelty not reaching this threshold is instead an ADMINISTRATIVE infraction under Art.29 (see MO-L42016-P2) - this two-tier criminal/administrative split by severity, verified directly, corrects the prior single-row treatment.",2016-09-01,SRC-MO-02,verified,"AUDIT-ADJACENT CORRECTION 2026-09-15 (found while building the provisions.verification_tier field, not in the original independent audit report): this row cited source_id SRC-MO-01 (the failed, snippet-tier search-synthesis source) even though its own notes already described a verified verbatim Portuguese-text fetch - that fetch is what SRC-MO-02 actually documents (the r.jina.ai proxy fetch of bo.dsaj.gov.mo). Repointed to SRC-MO-02, matching MO-L42016-P2, which already cited it correctly. UPGRADED 2026-09-15, now VERIFIED via direct fetch of the Portuguese primary text (Macau's authentic legal language). Art.2: 'Animais' = dogs and cats plus other vertebrate animals that are not human beings (verbatim: ""os cães e os gatos, bem como outros animais vertebrados que não sejam o ser humano"") - hence all_vertebrates, no domestic/captive qualifier stated in the definition itself. Art.3 (general prohibition, verbatim): ""É proibido o tratamento de animais por meios cruéis ou violentos ou por meio de tortura, que lhes inflijam dor e sofrimento."" Art.25 (this row, criminal tier, verbatim opening clause): ""Quem, com a intenção de infligir dor e sofrimento a animal, o tratar por meios cruéis..."" - penalty up to 1 year imprisonment OR up to 120 day-fines (a day-fine system, not a flat pataca amount - penalty_fine_max_local_currency left blank accordingly, see aggravating_factors for the day-fine count). Art.4 restricts killing dogs/cats to scientific use, disease control, suffering relief, emergency danger, or official population control (snippet-level from the structured extract, not verbatim-quoted). Art.5 prohibits abandonment (non-reclaim within 7 business days deemed abandonment). Art.6 bans animal fighting. Art.7 bars selling dogs/cats under three months old or for consumption. Art.11 sets owner care obligations plus a muzzle/safety-collar requirement for dogs ≥23kg. Art.19 requires licensing (via IACM/IAM, see instrument notes) for dogs and horses over three months old. None of these (Arts.4-7,11,19) are separately modeled as their own provisions rows this round - recorded here for completeness."
JP-AWMA-P1,JP-AWMA,killing,mammals_birds_reptiles_in_human_possession,60,5000000,JPY,FALSE,,,,2020-06-01,SRC-JP-02,snippet,"AUDIT CORRECTION 2026-09-15: this row previously claimed the killing/injury penalty hike (2yr/JPY2M -> 5yr/JPY5M) took effect at the FINAL of three staged dates (2024-06-01), framed as 'correcting' an assumed 2020-2022 staging. An independent audit re-checked this against four convergent sources (Japanese Wikipedia quoting verbatim '2020年6月1日施行' for exactly this penalty change; eva.or.jp; a Kyoto Prefecture government summary) and found the PENALTY INCREASE was actually the FIRST stage, effective 2020-06-01 - the earlier claim had it backwards. This is corrected here. Other elements of the same 2019 reform (microchipping mandates for dealers, minimum sale age for puppies/kittens, numerical husbandry standards) were staged later through 2022/2023/2024 and remain correctly dated to those later stages where recorded elsewhere - do not assume ALL elements of this reform share one effective date. Tagged snippet, not verified: the correction itself rests on secondary sources (Wikipedia, an NGO site, a prefecture summary), not a primary e-Gov statutory text fetch, which remains blocked to this project's automated tools. Article 44: killing/injuring a protected animal (愛護動物) without justifiable cause. Protected-animal list: cattle, horses, pigs, sheep, goats, dogs, cats, domestic rabbits, chickens, domestic pigeons, domestic ducks, plus any other mammal/bird/reptile 'in human possession' - excludes fish, amphibians, invertebrates, and feral/wild populations of the same species. NPA-recorded arrests/cleared cases under Art.44: 2015=56, 2016=62, 2017=68, 2018=84, 2019=105, 2020=102, 2021=170, 2022=166, 2023=181 (record high), 2024=160."
JP-AWMA-P2,JP-AWMA,neglect_duty_of_care,mammals_birds_reptiles_in_human_possession,12,1000000,JPY,FALSE,,,,2020-06-01,SRC-JP-02,snippet,"AUDIT CORRECTION 2026-09-15: effective_date corrected from 2024-06-01 to 2020-06-01, same basis as JP-AWMA-P1 (both penalty tiers of Art.44 were raised by the same 2019 reform and took effect at its FIRST stage, not its last - see JP-AWMA-P1 notes for the four convergent secondary sources supporting this correction). Tagged snippet, not verified. Article 44: cruelty/neglect (虐待 - withholding food/water, confinement causing debilitation, failure to treat sick/injured animals, hoarding in filth) and abandonment (遺棄), each up to 1yr/JPY1M. Abandonment was previously FINE-ONLY (max JPY500,000, no custodial penalty) before this reform. Organizing animal fighting (dogfighting) has NO national prohibition - only patchwork prefectural ordinances (Tokyo/Kanagawa/Fukui/Ishikawa ban it; Hokkaido licenses it for the Tosa breed). Filming/distributing cruelty content has no dedicated offense - the NPA treats cruelty publicized on video-sharing sites as an Article 44 enforcement priority, not a separate crime."
SG-ABA-P1,SG-ABA,general_cruelty,companion_and_livestock_broad,18,15000,SGD,FALSE,,forfeiture;ownership_ban,"Repeat non-business offence: up to $30,000/3yr. Business/animal-related-business offenders: first offence up to $40,000/2yr, repeat up to $100,000/3yr.",2015-01-16,SRC-SG-01,verified,"s.42 'Cruelty to animals': active cruelty (beating/kicking/torturing/terrifying), unnecessary pain/suffering by act or omission, working unfit animals, AND animal fighting/baiting (s.42(1)(h) - unusually folded into the SAME section as general cruelty, unlike most other jurisdictions which treat fighting separately). Scope per s.41: 'any beast, bird, fish or reptile, whether wild or tame.' Corporate liability: s.66 imputes liability to directors/officers absent proof of due diligence. Disqualification-order (s.43B) breach penalty: $5,000/6mo. No distinct offence for filming/distributing cruelty content found - identified gap, not yet legislated. NEW NOTE 2026-09-21 (verified against the Act's full consolidated text via globalanimallaw.org's PDF, during a completeness re-check of volunteer Jennifer Ferrarese's batch): s.42(3) excludes from this offence any act done in the course of destroying/preparing an animal as food, UNLESS that destruction or preparation was itself accompanied by the infliction of unnecessary suffering - this exception was missing from the notes above."
